"output","factor","mu","mu_star","sigma"
"N_alive_mean","weibull_lambda",8425.23333333333,8425.23333333333,12569.1263393321
"N_alive_mean","senescence_dose_response__max_effect",-5456.23466666667,5463.39733333333,5254.54524834752
"N_alive_mean","senescence_dose_response__half_sat",2120.67303703704,2148.8042962963,2900.09849875908
"N_alive_mean","juv_decline_dose_response__max_effect",-4966.78,4967.35866666667,9310.36152366003
"N_alive_mean","juv_decline_age_half_sat",-4508.87333333333,4508.87333333333,7690.93738622663
"N_alive_mean","shade_dose_response__max_effect",-4222.72133333333,4223.236,5438.3850266348
"N_alive_mean","shade_dose_response__half_sat",1689.99819346141,1689.99819346141,1341.19324222687
"N_alive_mean","R_max",11666.2907826087,11666.2907826087,6471.83997420865
"N_alive_mean","K_half",-3138.04,3138.04,1582.50548297601
"N_alive_mean","age_first_flower_mean",-4594.9,4630.65466666667,7352.96267656364
"N_alive_cv","weibull_lambda",-0.0132739100892384,0.019617258083873,0.0640860541836272
"N_alive_cv","senescence_dose_response__max_effect",0.0476579508581102,0.0497033013758719,0.172197170792165
"N_alive_cv","senescence_dose_response__half_sat",-0.14758450475447,0.148190930284095,0.634291092322305
"N_alive_cv","juv_decline_dose_response__max_effect",0.00653651443455639,0.0255203190161161,0.0490870972935753
"N_alive_cv","juv_decline_age_half_sat",-0.0359549845692663,0.0604816746905334,0.202852617150058
"N_alive_cv","shade_dose_response__max_effect",0.0290582386628978,0.0309356322794071,0.109050371279321
"N_alive_cv","shade_dose_response__half_sat",-0.000987259769425304,0.0200087368284907,0.0529450480418926
"N_alive_cv","R_max",-0.169671900952307,0.16984918958852,0.575547966973972
"N_alive_cv","K_half",0.167259954462614,0.168157045618834,0.347883771966102
"N_alive_cv","age_first_flower_mean",0.0418620928398014,0.0449872077970941,0.14693455186819
"N_alive_trend","weibull_lambda",10.6646402561024,15.2493733493397,26.0417904761071
"N_alive_trend","senescence_dose_response__max_effect",-3.41460104041617,4.47837374949981,8.42482038094124
"N_alive_trend","senescence_dose_response__half_sat",1.22083277368918,2.90430936432544,7.65022313187832
"N_alive_trend","juv_decline_dose_response__max_effect",-6.79716686674669,7.85893557422969,17.1284337611121
"N_alive_trend","juv_decline_age_half_sat",-1.30788635454182,3.7852036814726,4.57987392912372
"N_alive_trend","shade_dose_response__max_effect",-0.510325730292111,3.00350220088035,4.16414477619116
"N_alive_trend","shade_dose_response__half_sat",-0.175449961246719,4.18431750826553,6.07105933229801
